ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(5.60035e+06)","Runtime Improvement""""(799453)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
0,8.49,implicit_convolve_sgemm,..implicit_convolve_sgemm..,35.01,2.97,54.57,61.70,80,"  392,    2,    1","    8,    8,    1"
1,17.61,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,15.17,2.67,8.23,43.21,20,"   64,    1,    1","  512,    1,    1"
2,0.00,vectorized_elementwise_kernel,..launch_clamp_scalar..,8.61,0.00,8.01,75.37,18," 1568,    1,    1","  128,    1,    1"
3,0.00,max_pool_forward_nchw,..max_pool_forward_nchw..,11.42,0.00,50.82,50.72,26,"  784,    1,    1","  256,    1,    1"
4,19.48,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4..,7.07,1.38,8.91,18.95,90,"    8,    7,    1","  128,    1,    1"
5,16.46,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,6.27,1.03,6.30,22.28,20,"   64,    1,    1","  512,    1,    1"
6,7.16,vectorized_elementwise_kernel,..launch_clamp_scalar..,4,0.29,3.86,32.63,18,"  392,    1,    1","  128,    1,    1"
7,12.77,generateWinogradTilesKernel,..generateWinogradTilesKernel..,3.58,0.46,3.08,7.60,40,"    2,   16,    1","   32,    4,    1"
8,20.54,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,19.87,4.08,32.32,32.90,130,"    2,    7,    4","  256,    1,    1"
9,14.28,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,6.34,0.90,5.89,20.61,20,"   64,    1,    1","  512,    1,    1"
10,7.65,vectorized_elementwise_kernel,..launch_clamp_scalar..,4.10,0.31,4.01,30.91,18,"  392,    1,    1","  128,    1,    1"
11,21.79,Kernel2,..cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4..,14.72,3.21,12.85,24.66,218,"   32,    2,    1","  128,    1,    1"
12,19.07,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,13.31,2.54,14.14,52.57,20,"  256,    1,    1","  512,    1,    1"
13,21.74,Kernel2,..cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4..,14.78,3.21,12.87,24.92,218,"   32,    2,    1","  128,    1,    1"
14,14.39,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,12.77,1.84,11.10,53.91,20,"  256,    1,    1","  512,    1,    1"
15,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,13.31,0.00,4.45,76.73,22," 1568,    1,    1","  128,    1,    1"
16,0.00,vectorized_elementwise_kernel,..launch_clamp_scalar..,8.64,0.00,6.01,75.90,18," 1568,    1,    1","  128,    1,    1"
17,21.53,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,12.61,2.71,14.15,37.07,96,"    8,    7,    1","  128,    1,    1"
18,16.07,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,6.34,1.02,6.21,22.50,20,"   64,    1,    1","  512,    1,    1"
19,8.07,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.94,0.32,3.42,29.58,18,"  392,    1,    1","  128,    1,    1"
20,12.72,generateWinogradTilesKernel,..generateWinogradTilesKernel..,3.42,0.44,3.09,7.87,40,"    2,   16,    1","   32,    4,    1"
21,20.49,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,21.50,4.41,32.53,33.11,130,"    2,    7,    4","  256,    1,    1"
22,14.90,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,6.24,0.93,5.91,22.58,20,"   64,    1,    1","  512,    1,    1"
23,7.72,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.81,0.29,3.98,33.68,18,"  392,    1,    1","  128,    1,    1"
24,22.06,Kernel2,..cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4..,14.88,3.28,12.85,24.94,218,"   32,    2,    1","  128,    1,    1"
25,13.48,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,12.80,1.73,10.73,50.95,20,"  256,    1,    1","  512,    1,    1"
26,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,13.31,0.00,3.29,76.72,22," 1568,    1,    1","  128,    1,    1"
27,0.00,vectorized_elementwise_kernel,..launch_clamp_scalar..,8.86,0.00,5.98,74.66,18," 1568,    1,    1","  128,    1,    1"
28,21.65,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,12.48,2.70,14.48,36.21,96,"    8,    7,    1","  128,    1,    1"
29,16.44,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,6.24,1.03,6.12,23.10,20,"   64,    1,    1","  512,    1,    1"
30,7.77,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.97,0.31,3.88,32.77,18,"  392,    1,    1","  128,    1,    1"
31,13.81,generateWinogradTilesKernel,..generateWinogradTilesKernel..,3.49,0.48,3.12,7.74,40,"    2,   16,    1","   32,    4,    1"
32,20.66,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,20.10,4.15,32.75,33.29,130,"    2,    7,    4","  256,    1,    1"
33,14.48,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,6.34,0.92,5.87,22.10,20,"   64,    1,    1","  512,    1,    1"
34,6.82,vectorized_elementwise_kernel,..launch_clamp_scalar..,4,0.27,3.64,31.83,18,"  392,    1,    1","  128,    1,    1"
35,21.97,Kernel2,..cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4..,14.69,3.23,12.84,25.13,218,"   32,    2,    1","  128,    1,    1"
36,14.45,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,12.80,1.85,11.05,53.75,20,"  256,    1,    1","  512,    1,    1"
37,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,13.15,0.00,4.51,77.01,22," 1568,    1,    1","  128,    1,    1"
38,13.30,vectorized_elementwise_kernel,..launch_clamp_scalar..,8.67,1.15,8.05,75.06,18," 1568,    1,    1","  128,    1,    1"
39,22.49,Kernel2,..cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4..,18.78,4.22,19.42,30.20,136,"   16,    4,    1","  128,    1,    1"
40,8.34,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,7.42,0.62,11.63,42.17,20,"  128,    1,    1","  512,    1,    1"
41,6.38,vectorized_elementwise_kernel,..launch_clamp_scalar..,6.02,0.38,5.97,50.65,18,"  784,    1,    1","  128,    1,    1"
42,9.19,nchwToNhwcKernel,..nchw2nhwc_params_t..,6.02,0.55,17.53,44.63,33,"   98,    4,    1","  256,    1,    1"
43,13.24,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.22,0.69,23.84,17.59,33,"    1,    4,  128","  256,    1,    1"
44,22.21,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,23.52,5.22,18.02,45.30,122,"    4,   13,    1","  128,    1,    1"
45,7.89,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.96,0.39,4.94,12.83,20,"  128,    1,    1","  256,    1,    1"
46,8.58,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.20,0.27,2.30,15.54,18,"  196,    1,    1","  128,    1,    1"
47,20.06,Kernel2,..cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4..,12.93,2.59,15.93,25.52,136,"   64,    1,    1","  128,    1,    1"
48,17.83,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,8.54,1.52,13.38,39.58,20,"  512,    1,    1","  256,    1,    1"
49,9.40,implicit_convolve_sgemm,..implicit_convolve_sgemm..,34.27,3.22,47.59,60.06,80,"   25,   16,    1","    8,    8,    1"
50,16.91,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,8,1.35,13.76,37.70,20,"  512,    1,    1","  256,    1,    1"
51,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,7.81,0.00,2.86,61.58,22,"  784,    1,    1","  128,    1,    1"
52,10.28,vectorized_elementwise_kernel,..launch_clamp_scalar..,6.02,0.62,5.89,50.38,18,"  784,    1,    1","  128,    1,    1"
53,19.73,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,18.46,3.64,10.19,18.65,96,"   16,    2,    1","  128,    1,    1"
54,8.55,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.96,0.42,5.07,12.41,20,"  128,    1,    1","  256,    1,    1"
55,9.63,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.39,0.33,2.35,14.58,18,"  196,    1,    1","  128,    1,    1"
56,9.65,nchwToNhwcKernel,..nchw2nhwc_params_t..,3.87,0.37,6.31,15.58,33,"   25,    4,    1","  256,    1,    1"
57,13.86,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.22,0.72,23.91,17.08,33,"    1,    4,  128","  256,    1,    1"
58,22.44,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,22.62,5.08,18.92,46.31,122,"    4,   13,    1","  128,    1,    1"
59,8.31,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.90,0.41,5.40,13.76,20,"  128,    1,    1","  256,    1,    1"
60,7.41,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.26,0.24,2.25,15.78,18,"  196,    1,    1","  128,    1,    1"
61,20.19,Kernel2,..cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4..,12.96,2.62,16.01,25.44,136,"   64,    1,    1","  128,    1,    1"
62,18.27,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,8.03,1.47,13.67,36.70,20,"  512,    1,    1","  256,    1,    1"
63,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,7.71,0.00,3.51,63.11,22,"  784,    1,    1","  128,    1,    1"
64,6.06,vectorized_elementwise_kernel,..launch_clamp_scalar..,5.95,0.36,4.83,50.06,18,"  784,    1,    1","  128,    1,    1"
65,19.95,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,18.50,3.69,10.32,18.61,96,"   16,    2,    1","  128,    1,    1"
66,8.88,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,5.09,0.45,5.29,12.17,20,"  128,    1,    1","  256,    1,    1"
67,9.20,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.17,0.29,2.30,15.67,18,"  196,    1,    1","  128,    1,    1"
68,9.72,nchwToNhwcKernel,..nchw2nhwc_params_t..,3.87,0.38,6.20,15.89,33,"   25,    4,    1","  256,    1,    1"
69,13.45,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.28,0.71,23.69,16.93,33,"    1,    4,  128","  256,    1,    1"
70,22.00,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,22.56,4.96,18.92,46.49,122,"    4,   13,    1","  128,    1,    1"
71,9.57,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.96,0.47,5.39,13.87,20,"  128,    1,    1","  256,    1,    1"
72,8.03,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.20,0.26,2.36,15.46,18,"  196,    1,    1","  128,    1,    1"
73,20.33,Kernel2,..cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4..,12.86,2.61,16.04,25.62,136,"   64,    1,    1","  128,    1,    1"
74,14.26,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,8.48,1.21,11.88,39.31,20,"  512,    1,    1","  256,    1,    1"
75,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,7.65,0.00,3.01,63.58,22,"  784,    1,    1","  128,    1,    1"
76,6.46,vectorized_elementwise_kernel,..launch_clamp_scalar..,5.66,0.37,6.07,48.31,18,"  784,    1,    1","  128,    1,    1"
77,19.62,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,18.50,3.63,10.14,18.63,96,"   16,    2,    1","  128,    1,    1"
78,10.65,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.96,0.53,5.30,14.18,20,"  128,    1,    1","  256,    1,    1"
79,7.20,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.20,0.23,2.33,15.15,18,"  196,    1,    1","  128,    1,    1"
80,11.70,nchwToNhwcKernel,..nchw2nhwc_params_t..,4,0.47,6.28,15.34,33,"   25,    4,    1","  256,    1,    1"
81,13.55,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.28,0.72,23.44,16.28,33,"    1,    4,  128","  256,    1,    1"
82,21.74,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,22.78,4.95,18.63,46.00,122,"    4,   13,    1","  128,    1,    1"
83,8.49,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.99,0.42,5.15,13.45,20,"  128,    1,    1","  256,    1,    1"
84,9.21,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.23,0.30,2.24,14.43,18,"  196,    1,    1","  128,    1,    1"
85,20.13,Kernel2,..cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4..,12.99,2.61,15.95,26.77,136,"   64,    1,    1","  128,    1,    1"
86,15.97,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,8.22,1.31,13.57,37.00,20,"  512,    1,    1","  256,    1,    1"
87,7.08,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,7.71,0.55,2.93,62.42,22,"  784,    1,    1","  128,    1,    1"
88,6.34,vectorized_elementwise_kernel,..launch_clamp_scalar..,5.95,0.38,4.64,50.14,18,"  784,    1,    1","  128,    1,    1"
89,19.62,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,18.50,3.63,10.09,18.60,96,"   16,    2,    1","  128,    1,    1"
90,9.20,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,5.02,0.46,5.10,12.65,20,"  128,    1,    1","  256,    1,    1"
91,8.44,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.30,0.28,2.27,15.23,18,"  196,    1,    1","  128,    1,    1"
92,11.66,nchwToNhwcKernel,..nchw2nhwc_params_t..,3.94,0.46,6.18,15.33,33,"   25,    4,    1","  256,    1,    1"
93,14.87,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.28,0.78,23.50,16.43,33,"    1,    4,  128","  256,    1,    1"
94,22.04,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,22.66,4.99,18.88,46.26,122,"    4,   13,    1","  128,    1,    1"
95,7.95,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.99,0.40,5.05,12.59,20,"  128,    1,    1","  256,    1,    1"
96,8.52,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.26,0.28,2.35,15.68,18,"  196,    1,    1","  128,    1,    1"
97,20.37,Kernel2,..cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4..,12.99,2.65,16.06,25.40,136,"   64,    1,    1","  128,    1,    1"
98,17.09,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,8.16,1.39,13.43,40.20,20,"  512,    1,    1","  256,    1,    1"
99,5.31,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,7.71,0.41,3.53,63.05,22,"  784,    1,    1","  128,    1,    1"
100,6.13,vectorized_elementwise_kernel,..launch_clamp_scalar..,5.86,0.36,5.94,49.88,18,"  784,    1,    1","  128,    1,    1"
101,19.76,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,18.37,3.63,10.19,18.75,96,"   16,    2,    1","  128,    1,    1"
102,8.35,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.96,0.41,5.39,14.21,20,"  128,    1,    1","  256,    1,    1"
103,8.70,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.20,0.28,2.25,14.32,18,"  196,    1,    1","  128,    1,    1"
104,8.88,nchwToNhwcKernel,..nchw2nhwc_params_t..,4,0.36,5.72,16.13,33,"   25,    4,    1","  256,    1,    1"
105,14.15,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.22,0.74,23.30,17.25,33,"    1,    4,  128","  256,    1,    1"
106,21.86,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,22.75,4.97,18.81,46.10,122,"    4,   13,    1","  128,    1,    1"
107,8.17,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.99,0.41,5.17,13.52,20,"  128,    1,    1","  256,    1,    1"
108,9.63,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.30,0.32,2.32,15.02,18,"  196,    1,    1","  128,    1,    1"
109,20.05,Kernel2,..cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4..,12.90,2.59,15.90,25.59,136,"   64,    1,    1","  128,    1,    1"
110,21.48,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,8.38,1.80,13.90,40.70,20,"  512,    1,    1","  256,    1,    1"
111,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,7.84,0.00,2.99,61.00,22,"  784,    1,    1","  128,    1,    1"
112,5.44,vectorized_elementwise_kernel,..launch_clamp_scalar..,5.95,0.32,4.67,51.59,18,"  784,    1,    1","  128,    1,    1"
113,19.67,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,18.43,3.62,10.15,18.69,96,"   16,    2,    1","  128,    1,    1"
114,8.39,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.86,0.41,5.33,14.28,20,"  128,    1,    1","  256,    1,    1"
115,9.27,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.36,0.31,2.26,14.56,18,"  196,    1,    1","  128,    1,    1"
116,9.31,nchwToNhwcKernel,..nchw2nhwc_params_t..,4,0.37,6.27,15.69,33,"   25,    4,    1","  256,    1,    1"
117,14.72,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.12,0.75,23.96,16.86,33,"    1,    4,  128","  256,    1,    1"
118,22.13,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,22.56,4.99,18.88,46.44,122,"    4,   13,    1","  128,    1,    1"
119,9.05,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.83,0.44,5.32,14.30,20,"  128,    1,    1","  256,    1,    1"
120,9.03,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.33,0.30,2.28,14.50,18,"  196,    1,    1","  128,    1,    1"
121,19.97,Kernel2,..cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4..,13.06,2.61,15.94,25.26,136,"   64,    1,    1","  128,    1,    1"
122,13.90,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,8.13,1.13,12.02,40.42,20,"  512,    1,    1","  256,    1,    1"
123,5.37,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,7.55,0.41,2.99,63.57,22,"  784,    1,    1","  128,    1,    1"
124,8.06,vectorized_elementwise_kernel,..launch_clamp_scalar..,6.02,0.49,6.17,50.22,18,"  784,    1,    1","  128,    1,    1"
125,19.66,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,18.59,3.66,10.11,18.53,96,"   16,    2,    1","  128,    1,    1"
126,11.20,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,5.02,0.56,5.32,13.95,20,"  128,    1,    1","  256,    1,    1"
127,8.91,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.30,0.29,2.33,15.59,18,"  196,    1,    1","  128,    1,    1"
128,11.03,nchwToNhwcKernel,..nchw2nhwc_params_t..,3.84,0.42,6.28,15.76,33,"   25,    4,    1","  256,    1,    1"
129,12.90,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.38,0.69,23.38,16.74,33,"    1,    4,  128","  256,    1,    1"
